"","Dataset","Algorithm","Precision","Recall","F1","Rand","adjRand","BCubed.Precision","BCubed.Recall","BCubed.FScore"
"1","Bol","MeanVar BinSeg",0,0,0,0.363828662,-0.033083215,0.380760369,0.838017984,0.523612904
"2","Bol","MeanVar SegNeigh",0,0,0,0.363828662,-0.033083215,0.380760369,0.838017984,0.523612904
"3","Bol","MeanVar PELT",0,0,0,0.363828662,-0.033083215,0.380760369,0.838017984,0.523612904
"4","Bol","Var BinSeg",0,0,0,0.332099418,0.002293403,0.341618191,0.969439728,0.505207652
"5","Bol","Var SegNeigh",0,0,0,0.332099418,0.002293403,0.341618191,0.969439728,0.505207652
"6","Bol","Var PELT",0,0,0,0.332099418,0.002293403,0.341618191,0.969439728,0.505207652
"7","Bol","Mean BinSeg",0,0,0,0.584346906,0.100269497,0.594594595,0.584795322,0.589654248
"8","Bol","Mean SegNeigh",0.4,0.666666667,0.5,0.851930196,0.685228297,0.756503642,0.916871031,0.829002955
"9","Bol","Mean PELT",0.048387097,1,0.092307692,0.6811211,0,1,0.064516129,0.121212121
"10","Connexxion","MeanVar BinSeg",0.25,0.5,0.333333333,0.924907456,0.844343916,0.890083632,0.888137357,0.889109429
"11","Connexxion","MeanVar SegNeigh",0.25,0.5,0.333333333,0.924907456,0.844343916,0.890083632,0.888137357,0.889109429
"12","Connexxion","MeanVar PELT",0.142857143,0.5,0.222222222,0.812268641,0.590695386,0.890083632,0.666493236,0.762229907
"13","Connexxion","Var BinSeg",0.333333333,0.5,0.4,0.904812269,0.805123425,0.846496107,0.920395421,0.881900364
"14","Connexxion","Var SegNeigh",0.333333333,0.5,0.4,0.904812269,0.805123425,0.846496107,0.920395421,0.881900364
"15","Connexxion","Var PELT",0.333333333,0.5,0.4,0.904812269,0.805123425,0.846496107,0.920395421,0.881900364
"16","Connexxion","Mean BinSeg",0.166666667,0.5,0.25,0.87678477,0.727378477,0.983870968,0.677560738,0.802479376
"17","Connexxion","Mean SegNeigh",0.4,1,0.571428571,0.958223162,0.910909287,1,0.881650681,0.937103459
"18","Connexxion","Mean PELT",0.033898305,1,0.06557377,0.607086198,0.004865842,1,0.05450052,0.10336746
"19","DAP","MeanVar BinSeg",0,0,0,0.7106955,0.351202345,0.667180277,0.682527985,0.674766871
"20","DAP","MeanVar SegNeigh",0,0,0,0.698421975,0.334534305,0.655034895,0.703714426,0.678502647
"21","DAP","MeanVar PELT",0.1,0.333333333,0.153846154,0.779661017,0.378254169,0.86440678,0.476111521,0.614022242
"22","DAP","Var BinSeg",0,0,0,0.790765634,0.562324673,0.667180277,0.884443977,0.760601126
"23","DAP","Var SegNeigh",0,0,0,0.77849211,0.543596211,0.655034895,0.905630417,0.760213636
"24","DAP","Var PELT",0,0,0,0.77849211,0.543596211,0.655034895,0.905630417,0.760213636
"25","DAP","Mean BinSeg",0,0,0,0.928696669,0.819906546,0.927966102,0.770037197,0.841657276
"26","DAP","Mean SegNeigh",0,0,0,0.920514319,0.805466429,0.850934376,0.818463347,0.834383069
"27","DAP","Mean PELT",0.051724138,1,0.098360656,0.701344243,0.002735198,1,0.06927045,0.129565817
"28","Dirk","MeanVar BinSeg",0,0,0,0.916384181,0.831326108,0.977777778,0.808522727,0.885131649
"29","Dirk","MeanVar SegNeigh",0,0,0,0.774576271,0.57039828,0.977777778,0.662121212,0.789569859
"30","Dirk","MeanVar PELT",0,0,0,0.750282486,0.528564301,0.977777778,0.572537879,0.722194622
"31","Dirk","Var BinSeg",0,0,0,0.942937853,0.883671294,0.983333333,0.904356061,0.942192569
"32","Dirk","Var SegNeigh",0,0,0,0.942937853,0.883671294,0.983333333,0.904356061,0.942192569
"33","Dirk","Var PELT",0,0,0,0.942937853,0.883671294,0.983333333,0.904356061,0.942192569
"34","Dirk","Mean BinSeg",0,0,0,0.73559322,0.503863154,0.983333333,0.564015152,0.716858425
"35","Dirk","Mean SegNeigh",0.2,1,0.333333333,0.93559322,0.8691606,1,0.875189394,0.933441067
"36","Dirk","Mean PELT",0.017241379,1,0.033898305,0.398305085,0.000746372,1,0.034090909,0.065934066
"37","Jumbo","MeanVar BinSeg",0,0,0,0.776837652,0.464020988,0.881048387,0.548984468,0.676462612
"38","Jumbo","MeanVar SegNeigh",0,0,0,0.837123215,0.627783501,0.859582543,0.703106332,0.773510247
"39","Jumbo","MeanVar PELT",0,0,0,0.837123215,0.627783501,0.859582543,0.703106332,0.773510247
"40","Jumbo","Var BinSeg",0.333333333,0.5,0.4,0.935483871,0.85755302,0.923963134,0.884259259,0.903675299
"41","Jumbo","Var SegNeigh",0.333333333,0.5,0.4,0.935483871,0.85755302,0.923963134,0.884259259,0.903675299
"42","Jumbo","Var PELT",0.333333333,0.5,0.4,0.935483871,0.85755302,0.923963134,0.884259259,0.903675299
"43","Jumbo","Mean BinSeg",0,0,0,0.905341089,0.782728087,0.962365591,0.744311394,0.839408606
"44","Jumbo","Mean SegNeigh",0.2,0.5,0.285714286,0.941300899,0.868296668,0.975806452,0.828540784,0.896163916
"45","Jumbo","Mean PELT",0.032258065,1,0.0625,0.639344262,0,1,0.048387097,0.092307692
"46","KVK","MeanVar BinSeg",0,0,0,0.752542373,0.525490081,0.96969697,0.679861111,0.799316213
"47","KVK","MeanVar SegNeigh",0,0,0,0.551412429,0.241900508,0.96969697,0.432638889,0.598328306
"48","KVK","MeanVar PELT",0,0,0,0.528813559,0.214187614,0.96969697,0.404861111,0.571227361
"49","KVK","Var BinSeg",0,0,0,0.710169492,0.458374641,0.969047619,0.629861111,0.763477488
"50","KVK","Var SegNeigh",0,0,0,0.915254237,0.818859861,0.977777778,0.874305556,0.923151273
"51","KVK","Var PELT",0,0,0,0.915254237,0.818859861,0.977777778,0.874305556,0.923151273
"52","KVK","Mean BinSeg",0,0,0,0.736158192,0.502540289,0.977777778,0.654166667,0.783886525
"53","KVK","Mean SegNeigh",0.2,1,0.333333333,0.746327684,0.519210875,1,0.665277778,0.798999166
"54","KVK","Mean PELT",0.01754386,1,0.034482759,0.327118644,0.001636731,1,0.035416667,0.068410463
"55","Rabobank","MeanVar BinSeg",0.333333333,0.333333333,0.333333333,0.849795441,0.667534638,0.740705303,0.935439137,0.826760168
"56","Rabobank","MeanVar SegNeigh",0.2,0.333333333,0.25,0.845119813,0.653321966,0.753417168,0.867642527,0.806505494
"57","Rabobank","MeanVar PELT",0.125,0.333333333,0.181818182,0.821157218,0.536777118,0.805488297,0.650385208,0.719674713
"58","Rabobank","Var BinSeg",0.333333333,0.333333333,0.333333333,0.849795441,0.667534638,0.740705303,0.935439137,0.826760168
"59","Rabobank","Var SegNeigh",0.333333333,0.333333333,0.333333333,0.849795441,0.667534638,0.740705303,0.935439137,0.826760168
"60","Rabobank","Var PELT",0.333333333,0.333333333,0.333333333,0.849795441,0.667534638,0.740705303,0.935439137,0.826760168
"61","Rabobank","Mean BinSeg",0.166666667,0.333333333,0.222222222,0.834599649,0.625980308,0.753417168,0.837134052,0.793072438
"62","Rabobank","Mean SegNeigh",0.2,0.333333333,0.25,0.845119813,0.653321966,0.753417168,0.867642527,0.806505494
"63","Rabobank","Mean PELT",0.051724138,1,0.098360656,0.715955582,0.002935273,1,0.069337442,0.129682997
"64","Tele2","MeanVar BinSeg",0,0,0,0.799048123,0.561286116,0.803870968,0.753312212,0.777770817
"65","Tele2","MeanVar SegNeigh",0,0,0,0.86938128,0.711729799,0.891935484,0.801699309,0.844413523
"66","Tele2","MeanVar PELT",0,0,0,0.86938128,0.711729799,0.891935484,0.801699309,0.844413523
"67","Tele2","Var BinSeg",0,0,0,0.740349022,0.459125414,0.698231009,0.745535714,0.721108398
"68","Tele2","Var SegNeigh",0,0,0,0.740349022,0.459125414,0.698231009,0.745535714,0.721108398
"69","Tele2","Var PELT",0,0,0,0.740349022,0.459125414,0.698231009,0.745535714,0.721108398
"70","Tele2","Mean BinSeg",0,0,0,0.868852459,0.699871621,0.943548387,0.678715438,0.789515055
"71","Tele2","Mean SegNeigh",0,0,0,0.925965098,0.835786141,0.954301075,0.785570276,0.861754013
"72","Tele2","Mean PELT",0.032258065,1,0.0625,0.626123744,0,1,0.048387097,0.092307692
"73","UWV","MeanVar BinSeg",0,0,0,0.779481756,0.488322974,0.709677419,0.779793907,0.743085305
"74","UWV","MeanVar SegNeigh",0.2,0.333333333,0.25,0.947117927,0.869205369,0.925806452,0.84192055,0.881873135
"75","UWV","MeanVar PELT",0.2,0.333333333,0.25,0.947117927,0.869205369,0.925806452,0.84192055,0.881873135
"76","UWV","Var BinSeg",0.333333333,0.333333333,0.333333333,0.923849815,0.822681578,0.833870968,0.938694743,0.883183387
"77","UWV","Var SegNeigh",0.333333333,0.333333333,0.333333333,0.923849815,0.822681578,0.833870968,0.938694743,0.883183387
"78","UWV","Var PELT",0.333333333,0.333333333,0.333333333,0.923849815,0.822681578,0.833870968,0.938694743,0.883183387
"79","UWV","Mean BinSeg",0.166666667,0.333333333,0.222222222,0.939185616,0.845868213,0.955645161,0.798611111,0.870099604
"80","UWV","Mean SegNeigh",0.4,0.666666667,0.5,0.931782126,0.838129718,0.862007168,0.909124851,0.88493927
"81","UWV","Mean PELT",0.05,1,0.095238095,0.705975674,0.005045764,1,0.068399044,0.128040257
"82","Ziggo","MeanVar BinSeg",0.2,0.2,0.2,0.819774011,0.54185782,0.656344086,0.855897436,0.742954366
"83","Ziggo","MeanVar SegNeigh",0.2,0.2,0.2,0.785875706,0.477814329,0.619393939,0.842564103,0.713945385
"84","Ziggo","MeanVar PELT",0.166666667,0.2,0.181818182,0.811864407,0.515766487,0.656344086,0.809230769,0.724812967
"85","Ziggo","Var BinSeg",0.333333333,0.2,0.25,0.733333333,0.418172701,0.457575758,0.919230769,0.611004825
"86","Ziggo","Var SegNeigh",0,0,0,0.782485876,0.477512609,0.588624709,0.862564103,0.699738779
"87","Ziggo","Var PELT",0,0,0,0.782485876,0.477512609,0.588624709,0.862564103,0.699738779
"88","Ziggo","Mean BinSeg",0.5,0.6,0.545454545,0.798305085,0.510612723,0.672727273,0.889230769,0.765974212
"89","Ziggo","Mean SegNeigh",0.4,0.4,0.4,0.784745763,0.492259321,0.633660131,0.910064103,0.747117038
"90","Ziggo","Mean PELT",0.083333333,1,0.153846154,0.807344633,0,1,0.1,0.181818182
